Id,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,Fireplaces,LotArea,Neighborhood,ExterQual,KitchenQual,CentralAir,SalePrice
c,c,c,c,c,c,c,c,c,c,d,d,d,d,c
meta,,,,,,,,,,,,,,class
1,7,1710,2,856,2,2003,2003,0,8450,CollgCr,Gd,Gd,Y,208500
2,6,1262,2,1262,2,1976,1976,1,9600,Veenker,TA,TA,Y,181500
3,7,1786,2,920,2,2001,2002,1,11250,CollgCr,Gd,Gd,Y,223500
4,7,1717,3,756,1,1915,1970,1,9550,Crawfor,TA,Gd,Y,140000
5,8,2198,3,1145,2,2000,2000,1,14260,NoRidge,Gd,Gd,Y,250000
6,5,1362,2,796,1,1993,1995,0,14115,Mitchel,TA,TA,Y,143000
7,8,1694,2,1686,2,2004,2005,1,10084,Somerst,Gd,Gd,Y,307000
8,7,2090,2,1107,2,1973,1973,2,10382,NWAmes,TA,TA,Y,200000
9,7,1774,2,952,2,1931,1950,2,6120,OldTown,TA,TA,Y,129900
10,5,1077,1,991,1,1939,1950,2,7420,BrkSide,TA,TA,Y,118000
11,5,1040,1,1040,1,1965,1965,0,11200,Sawyer,TA,TA,Y,129500
12,9,2324,3,1175,3,2005,2006,2,11924,NridgHt,Ex,Ex,Y,345000
13,5,912,1,912,1,1962,1962,0,12968,Sawyer,TA,TA,Y,144000
14,7,1494,3,1494,2,2006,2007,1,10652,CollgCr,Gd,Gd,Y,279500
15,6,1253,1,1253,1,1960,1960,1,10920,NAmes,TA,TA,Y,157000
16,7,854,2,832,1,1929,2001,0,6120,BrkSide,TA,TA,Y,132000
17,6,1004,2,1004,1,1970,1970,1,11241,NAmes,TA,TA,Y,149000
18,4,1296,2,0,2,1967,1967,0,10791,Sawyer,TA,TA,Y,90000
19,5,1114,2,1114,1,2004,2004,0,13695,SawyerW,TA,Gd,Y,159000
20,5,1339,1,1029,1,1958,1965,0,7560,NAmes,TA,TA,Y,139000
21,8,2376,3,1158,3,2005,2006,1,14215,NridgHt,Gd,Gd,Y,325300
22,7,1108,1,637,1,1930,1950,1,7449,IDOTRR,TA,Gd,Y,139400
23,8,1795,2,1777,2,2002,2002,1,9742,CollgCr,Gd,Gd,Y,230000
24,5,1060,2,1040,1,1976,1976,1,4224,MeadowV,TA,TA,Y,129900
25,5,1060,1,1060,1,1968,2001,1,8246,Sawyer,TA,Gd,Y,154000
26,8,1600,3,1566,2,2007,2007,1,14230,NridgHt,Gd,Gd,Y,256300
27,5,900,2,900,1,1951,2000,0,7200,NAmes,TA,Gd,Y,134800
28,8,1704,3,1704,2,2007,2008,1,11478,NridgHt,Gd,Gd,Y,306000
29,5,1600,1,1484,1,1957,1997,2,16321,NAmes,TA,TA,Y,207500
30,4,520,1,520,1,1927,1950,0,6324,BrkSide,TA,Fa,N,68500
31,4,1317,1,649,1,1920,1950,0,8500,IDOTRR,TA,TA,N,40000
32,5,1228,1,1228,1,1966,2006,0,8544,Sawyer,TA,Gd,Y,149350
33,8,1234,2,1234,2,2007,2007,0,11049,CollgCr,Gd,Gd,Y,179900
34,5,1700,2,1398,1,1959,1959,1,10552,NAmes,TA,Gd,Y,165500
35,9,1561,2,1561,2,2005,2005,1,7313,NridgHt,Ex,Ex,Y,277500
36,8,2452,3,1117,3,2004,2005,1,13418,NridgHt,Gd,Gd,Y,309000
37,5,1097,2,1097,1,1994,1995,0,10859,CollgCr,TA,TA,Y,145000
38,5,1297,2,1297,1,1954,1990,1,8532,NAmes,TA,TA,Y,153000
39,5,1057,1,1057,1,1953,2007,0,7922,NAmes,TA,Gd,Y,109000
40,4,1152,0,0,2,1955,1955,0,6040,Edwards,TA,Fa,N,82000
41,6,1324,2,1088,2,1965,1965,1,8658,NAmes,TA,TA,Y,160000
42,5,1328,1,1350,1,1959,1959,2,16905,Timber,TA,TA,Y,170000
43,5,884,2,840,1,1983,1983,0,9180,SawyerW,TA,Gd,Y,144000
44,5,938,1,938,1,1975,1980,0,9200,CollgCr,TA,TA,Y,130250
45,5,1150,1,1150,1,1959,1959,0,7945,NAmes,TA,TA,Y,141000
46,9,1752,2,1752,2,2005,2005,1,7658,NridgHt,Ex,Ex,Y,319900
47,7,2149,2,1434,1,2003,2003,1,12822,Mitchel,Gd,Gd,Y,239686
48,8,1656,3,1656,2,2006,2006,0,11096,Somerst,Gd,Gd,Y,249700
49,4,1452,0,736,2,1920,2008,0,4456,OldTown,TA,TA,Y,113000
50,5,955,1,955,1,1966,1966,0,7742,Sawyer,TA,TA,Y,127000
51,6,1470,2,794,2,1997,1997,0,13869,Gilbert,TA,TA,Y,177000
52,6,1176,2,816,1,1934,1950,1,6240,BrkSide,TA,TA,Y,114500
53,5,816,2,816,1,1963,1963,0,8472,IDOTRR,Fa,TA,N,110000
54,9,1842,3,1842,0,1981,1987,1,50271,Veenker,Gd,Gd,Y,385000
55,5,1360,2,384,1,1955,1955,1,7134,NAmes,TA,TA,Y,130000
56,6,1425,2,1425,2,1964,1964,1,10175,NAmes,TA,TA,Y,180500
57,8,1739,2,970,2,1999,2000,0,2645,Somerst,Gd,Gd,Y,172500
58,7,1720,2,860,2,2004,2004,0,11645,CollgCr,Gd,Gd,Y,196500
59,10,2945,3,1410,3,2006,2006,1,13682,StoneBr,Ex,Gd,Y,438780
60,5,780,1,780,1,1972,1972,0,7200,CollgCr,TA,TA,Y,124900
61,6,1158,2,1158,1,2004,2004,0,13072,SawyerW,TA,Gd,Y,158000
62,5,1111,1,530,1,1920,1996,0,7200,IDOTRR,TA,Fa,N,101000
63,8,1370,2,1370,2,2006,2006,1,6442,NridgHt,Gd,Gd,Y,202500
64,7,1710,2,576,2,1921,1950,0,10300,OldTown,TA,TA,Y,140000
65,7,2034,2,1057,2,1997,1998,0,9375,CollgCr,TA,Gd,Y,219500
66,8,2473,3,1143,2,2004,2005,1,9591,NridgHt,Gd,Gd,Y,317000
67,7,2207,2,1947,2,1970,1989,1,19900,NAmes,TA,TA,Y,180000
68,7,1479,2,1453,2,2003,2003,0,10665,CollgCr,Gd,Gd,Y,226000
69,4,747,1,747,1,1945,1950,0,4608,OldTown,TA,TA,Y,80000
70,7,2287,2,1304,2,1953,1953,1,15593,ClearCr,Gd,TA,Y,225000
71,7,2223,2,2223,2,1973,1973,2,13651,NAmes,TA,TA,Y,244000
72,4,845,2,845,1,1982,2006,0,7599,Mitchel,TA,TA,Y,129500
73,7,1718,2,832,2,1998,1998,1,10141,Gilbert,TA,TA,Y,185000
74,5,1086,2,1086,1,1954,2003,0,10200,NAmes,TA,TA,Y,144900
75,3,1605,1,840,2,1915,1950,0,5790,OldTown,Gd,TA,N,107400
76,4,988,1,462,1,1973,1973,0,1596,MeadowV,TA,TA,Y,91000
77,4,952,1,952,1,1956,1956,0,8475,NAmes,TA,TA,Y,135750
78,5,1285,1,672,1,1948,2001,0,8635,BrkSide,TA,TA,Y,127000
79,4,1768,0,1768,2,1968,1968,0,10778,Sawyer,TA,TA,N,136500
80,5,1230,2,440,1,1910,1981,0,10440,OldTown,TA,TA,Y,110000
81,6,2142,1,896,2,1968,1968,1,13000,NAmes,TA,Gd,Y,193500
82,6,1337,2,1237,2,1998,1998,0,4500,Mitchel,TA,TA,Y,153500
83,8,1563,3,1563,2,2007,2007,1,10206,Somerst,TA,Gd,Y,245000
84,5,1065,2,1065,1,1960,1960,0,8892,NAmes,TA,TA,Y,126500
85,7,1474,2,384,2,1995,1996,1,8530,Gilbert,TA,TA,Y,168500
86,8,2417,2,1288,2,1991,1992,1,16059,NoRidge,Gd,Gd,Y,260000
87,6,1560,2,684,2,2005,2005,1,11911,Gilbert,Gd,Gd,Y,174000
88,6,1224,2,612,2,2009,2009,0,3951,Somerst,Gd,Gd,Y,164500
89,3,1526,0,1013,1,1915,1982,0,8470,IDOTRR,Fa,Fa,N,85000
90,4,990,0,990,1,1994,1995,0,8070,CollgCr,TA,TA,Y,123600
91,4,1040,2,0,1,1950,1950,0,7200,NAmes,TA,TA,Y,109900
92,5,1235,2,1235,1,1961,1961,0,8500,NAmes,TA,TA,Y,98600
93,5,964,2,876,1,1921,2006,0,13360,Crawfor,TA,TA,Y,163500
94,6,2291,2,1214,2,1910,1998,1,7200,OldTown,TA,TA,N,133900
95,6,1786,2,824,2,1997,1997,0,9337,CollgCr,TA,Gd,Y,204750
96,6,1470,2,680,2,1993,1993,1,9765,Gilbert,Ex,TA,Y,185000
97,7,1588,2,1588,2,1999,1999,0,10264,CollgCr,Gd,Gd,Y,214000
98,4,960,1,960,1,1965,1965,0,10921,Edwards,TA,TA,Y,94750
99,5,835,1,458,1,1920,1950,0,10625,Edwards,TA,TA,N,83000
100,4,1225,0,950,1,1959,1959,0,9320,NAmes,TA,TA,Y,128950
101,6,1610,2,1610,2,1977,2001,2,10603,NWAmes,TA,Gd,Y,205000
102,6,1732,2,741,2,1985,1985,1,9206,SawyerW,Gd,Gd,Y,178000
103,5,1535,2,0,2,1979,1979,0,7018,SawyerW,TA,TA,Y,118964
104,7,1226,3,1226,2,2009,2009,0,10402,CollgCr,TA,Gd,Y,198900
105,7,1818,1,1040,1,1931,1950,2,7758,IDOTRR,TA,TA,Y,169500
106,8,1992,2,1053,2,2003,2004,1,9375,Somerst,Gd,Gd,Y,250000
107,4,1047,1,641,1,1885,1995,0,10800,OldTown,TA,TA,Y,100000
108,5,789,1,789,1,1948,1950,0,6000,OldTown,TA,TA,Y,115000
109,5,1517,0,793,2,1919,2005,0,8500,IDOTRR,TA,Fa,N,115000
110,6,1844,2,1844,2,1977,1977,1,11751,NWAmes,TA,TA,Y,190000
111,6,1855,1,994,2,1954,1972,0,9525,Edwards,TA,TA,Y,136900
112,7,1430,2,384,2,2000,2000,1,7750,Gilbert,TA,TA,Y,180000
113,7,2696,3,1264,2,2007,2007,1,9965,CollgCr,Gd,Ex,Y,383970
114,6,2259,2,1809,2,1953,1953,2,21000,Crawfor,TA,Gd,Y,217000
115,6,2320,1,1028,2,1945,2002,1,7259,Crawfor,TA,Gd,Y,259500
116,6,1458,2,729,2,1999,1999,1,3230,Somerst,TA,TA,Y,176000
117,5,1092,1,1092,1,1962,1962,1,11616,Sawyer,TA,TA,Y,139000
118,5,1125,2,1125,1,2006,2007,0,8536,Edwards,TA,TA,Y,155000
119,7,3222,3,1673,3,1990,1990,2,12376,SawyerW,TA,Gd,Y,320000
120,6,1456,2,728,2,2005,2006,1,8461,CollgCr,Gd,Gd,Y,163990
121,6,988,2,938,1,1969,1969,2,21453,ClearCr,TA,TA,Y,180000
122,4,1123,1,732,1,1939,1950,0,6060,IDOTRR,TA,TA,Y,100000
123,6,1080,1,1080,1,1958,1958,0,9464,NAmes,TA,TA,Y,136000
124,6,1199,2,1199,2,1993,1993,0,7892,SawyerW,Gd,Gd,Y,153900
125,6,1586,2,1362,2,1979,1998,1,17043,NWAmes,TA,TA,Y,181000
126,6,754,0,520,1,1935,1982,0,6780,IDOTRR,TA,TA,N,84500
127,6,958,2,1078,2,1976,1976,1,4928,NPkVill,TA,TA,Y,128000
128,5,840,0,672,1,1930,1950,1,4388,OldTown,TA,TA,Y,87000
129,6,1348,2,660,1,1966,1966,1,7590,NAmes,TA,TA,Y,155000
130,5,1053,2,1008,1,1958,1991,0,8973,NAmes,TA,Ex,Y,150000
131,7,2157,2,924,2,1966,1966,2,14200,NAmes,TA,Gd,Y,226000
132,6,2054,2,992,2,2000,2000,1,12224,Gilbert,Gd,Gd,Y,244000
133,5,1327,2,1063,1,1959,2002,0,7388,NAmes,TA,Gd,Y,150750
134,8,1296,2,1267,2,2001,2002,0,6853,Timber,Gd,Gd,Y,220000
135,5,1721,2,1461,2,1968,1993,1,10335,Sawyer,TA,TA,Y,180000
136,7,1682,2,1304,2,1970,1970,1,10400,NWAmes,TA,TA,Y,174000
137,5,1214,1,1214,2,1967,1967,1,10355,NAmes,TA,TA,Y,143000
138,7,1959,3,1907,3,1988,1989,0,11070,Mitchel,TA,TA,Y,171000
139,8,1852,3,1004,2,1999,2000,2,9066,CollgCr,Gd,Gd,Y,230000
140,6,1764,2,928,2,1997,1997,0,15426,CollgCr,TA,Gd,Y,231500
141,4,864,0,864,1,1971,1971,1,10500,NAmes,TA,TA,Y,115000
142,7,1734,2,1734,2,2005,2005,0,11645,CollgCr,Gd,Gd,Y,260000
143,5,1385,2,910,2,1952,1952,0,8520,NAmes,TA,TA,Y,166000
144,7,1501,2,1490,2,1999,1999,0,10335,CollgCr,Gd,Gd,Y,204000
145,5,1728,2,1728,2,1963,1963,0,9100,Sawyer,TA,TA,Y,125000
146,6,1709,2,970,2,2004,2006,0,2522,Edwards,Gd,Gd,Y,130000
147,5,875,1,715,1,1931,1993,0,6120,BrkSide,TA,TA,Y,105000
148,7,2035,2,884,2,2001,2001,1,9505,Gilbert,Gd,Gd,Y,222500
149,7,1080,0,1080,1,2004,2005,0,7500,SawyerW,TA,Gd,Y,141000
150,5,1344,1,896,1,1936,1950,0,6240,BrkSide,TA,TA,Y,115000
151,5,969,2,969,1,1975,1975,0,10356,CollgCr,TA,TA,Y,122000
152,8,1710,3,1710,2,2007,2008,1,13891,NridgHt,Gd,Gd,Y,372402
153,6,1993,2,825,2,1971,1971,1,14803,NWAmes,TA,TA,Y,190000
154,6,1252,2,1602,1,1960,1975,1,13500,ClearCr,TA,TA,Y,235000
155,6,1200,1,1200,1,1923,1950,0,11340,OldTown,TA,TA,Y,125000
156,6,1096,0,572,1,1924,1950,0,9600,Edwards,TA,TA,N,79000
157,5,1040,2,0,1,1950,1950,0,7200,NAmes,TA,TA,Y,109500
158,8,1968,3,774,2,2009,2010,1,12003,Timber,Gd,Ex,Y,269500
159,7,1947,2,991,2,2004,2005,1,12552,Somerst,Gd,Gd,Y,254900
160,7,2462,2,1392,2,2005,2006,1,19378,Gilbert,Gd,Gd,Y,320000
161,6,1232,2,1232,2,1984,1984,0,11120,Veenker,TA,TA,Y,162500
162,9,2668,3,1572,2,2003,2004,2,13688,NridgHt,Gd,Ex,Y,412500
