Id,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,Fireplaces,LotArea,Neighborhood,ExterQual,KitchenQual,CentralAir,TotalSF,HouseAge,RemodAge,IsRemodeled,Qual_x_Area,Qual_x_TotalSF,HasFireplace,LotRatio,SalePrice
c,c,c,c,c,c,c,c,c,c,d,d,d,d,c,c,c,c,c,c,c,c,c
meta,,,,,,,,,,,,,,,,,,,,,,class
1,7,1710,2,856,2,2003,2003,0,8450,CollgCr,Gd,Gd,Y,2566,7,7,0,11970,17962,0,0.202367,208500
2,6,1262,2,1262,2,1976,1976,1,9600,Veenker,TA,TA,Y,2524,34,34,0,7572,15144,1,0.131458,181500
3,7,1786,2,920,2,2001,2002,1,11250,CollgCr,Gd,Gd,Y,2706,9,8,1,12502,18942,1,0.158756,223500
4,7,1717,3,756,1,1915,1970,1,9550,Crawfor,TA,Gd,Y,2473,95,40,1,12019,17311,1,0.179791,140000
5,8,2198,3,1145,2,2000,2000,1,14260,NoRidge,Gd,Gd,Y,3343,10,10,0,17584,26744,1,0.154137,250000
6,5,1362,2,796,1,1993,1995,0,14115,Mitchel,TA,TA,Y,2158,17,15,1,6810,10790,0,0.096493,143000
7,8,1694,2,1686,2,2004,2005,1,10084,Somerst,Gd,Gd,Y,3380,6,5,1,13552,27040,1,0.167989,307000
8,7,2090,2,1107,2,1973,1973,2,10382,NWAmes,TA,TA,Y,3197,37,37,0,14630,22379,1,0.20131,200000
9,7,1774,2,952,2,1931,1950,2,6120,OldTown,TA,TA,Y,2726,79,60,1,12418,19082,1,0.289869,129900
10,5,1077,1,991,1,1939,1950,2,7420,BrkSide,TA,TA,Y,2068,71,60,1,5385,10340,1,0.145148,118000
11,5,1040,1,1040,1,1965,1965,0,11200,Sawyer,TA,TA,Y,2080,45,45,0,5200,10400,0,0.092857,129500
12,9,2324,3,1175,3,2005,2006,2,11924,NridgHt,Ex,Ex,Y,3499,5,4,1,20916,31491,1,0.194901,345000
13,5,912,1,912,1,1962,1962,0,12968,Sawyer,TA,TA,Y,1824,48,48,0,4560,9120,0,0.070327,144000
14,7,1494,3,1494,2,2006,2007,1,10652,CollgCr,Gd,Gd,Y,2988,4,3,1,10458,20916,1,0.140255,279500
15,6,1253,1,1253,1,1960,1960,1,10920,NAmes,TA,TA,Y,2506,50,50,0,7518,15036,1,0.114744,157000
16,7,854,2,832,1,1929,2001,0,6120,BrkSide,TA,TA,Y,1686,81,9,1,5978,11802,0,0.139542,132000
17,6,1004,2,1004,1,1970,1970,1,11241,NAmes,TA,TA,Y,2008,40,40,0,6024,12048,1,0.089316,149000
18,4,1296,2,0,2,1967,1967,0,10791,Sawyer,TA,TA,Y,1296,43,43,0,5184,5184,0,0.1201,90000
19,5,1114,2,1114,1,2004,2004,0,13695,SawyerW,TA,Gd,Y,2228,6,6,0,5570,11140,0,0.081344,159000
20,5,1339,1,1029,1,1958,1965,0,7560,NAmes,TA,TA,Y,2368,52,45,1,6695,11840,0,0.177116,139000
21,8,2376,3,1158,3,2005,2006,1,14215,NridgHt,Gd,Gd,Y,3534,5,4,1,19008,28272,1,0.167147,325300
22,7,1108,1,637,1,1930,1950,1,7449,IDOTRR,TA,Gd,Y,1745,80,60,1,7756,12215,1,0.148745,139400
23,8,1795,2,1777,2,2002,2002,1,9742,CollgCr,Gd,Gd,Y,3572,8,8,0,14360,28576,1,0.184254,230000
24,5,1060,2,1040,1,1976,1976,1,4224,MeadowV,TA,TA,Y,2100,34,34,0,5300,10500,1,0.250947,129900
25,5,1060,1,1060,1,1968,2001,1,8246,Sawyer,TA,Gd,Y,2120,42,9,1,5300,10600,1,0.128547,154000
26,8,1600,3,1566,2,2007,2007,1,14230,NridgHt,Gd,Gd,Y,3166,3,3,0,12800,25328,1,0.112439,256300
27,5,900,2,900,1,1951,2000,0,7200,NAmes,TA,Gd,Y,1800,59,10,1,4500,9000,0,0.125,134800
28,8,1704,3,1704,2,2007,2008,1,11478,NridgHt,Gd,Gd,Y,3408,3,2,1,13632,27264,1,0.148458,306000
29,5,1600,1,1484,1,1957,1997,2,16321,NAmes,TA,TA,Y,3084,53,13,1,8000,15420,1,0.098033,207500
30,4,520,1,520,1,1927,1950,0,6324,BrkSide,TA,Fa,N,1040,83,60,1,2080,4160,0,0.082226,68500
31,4,1317,1,649,1,1920,1950,0,8500,IDOTRR,TA,TA,N,1966,90,60,1,5268,7864,0,0.154941,40000
32,5,1228,1,1228,1,1966,2006,0,8544,Sawyer,TA,Gd,Y,2456,44,4,1,6140,12280,0,0.143727,149350
33,8,1234,2,1234,2,2007,2007,0,11049,CollgCr,Gd,Gd,Y,2468,3,3,0,9872,19744,0,0.111684,179900
34,5,1700,2,1398,1,1959,1959,1,10552,NAmes,TA,Gd,Y,3098,51,51,0,8500,15490,1,0.161107,165500
35,9,1561,2,1561,2,2005,2005,1,7313,NridgHt,Ex,Ex,Y,3122,5,5,0,14049,28098,1,0.213455,277500
36,8,2452,3,1117,3,2004,2005,1,13418,NridgHt,Gd,Gd,Y,3569,6,5,1,19616,28552,1,0.18274,309000
37,5,1097,2,1097,1,1994,1995,0,10859,CollgCr,TA,TA,Y,2194,16,15,1,5485,10970,0,0.101022,145000
38,5,1297,2,1297,1,1954,1990,1,8532,NAmes,TA,TA,Y,2594,56,20,1,6485,12970,1,0.152016,153000
39,5,1057,1,1057,1,1953,2007,0,7922,NAmes,TA,Gd,Y,2114,57,3,1,5285,10570,0,0.133426,109000
40,4,1152,0,0,2,1955,1955,0,6040,Edwards,TA,Fa,N,1152,55,55,0,4608,4608,0,0.190728,82000
41,6,1324,2,1088,2,1965,1965,1,8658,NAmes,TA,TA,Y,2412,45,45,0,7944,14472,1,0.152922,160000
42,5,1328,1,1350,1,1959,1959,2,16905,Timber,TA,TA,Y,2678,51,51,0,6640,13390,1,0.078557,170000
43,5,884,2,840,1,1983,1983,0,9180,SawyerW,TA,Gd,Y,1724,27,27,0,4420,8620,0,0.096296,144000
44,5,938,1,938,1,1975,1980,0,9200,CollgCr,TA,TA,Y,1876,35,30,1,4690,9380,0,0.101957,130250
45,5,1150,1,1150,1,1959,1959,0,7945,NAmes,TA,TA,Y,2300,51,51,0,5750,11500,0,0.144745,141000
46,9,1752,2,1752,2,2005,2005,1,7658,NridgHt,Ex,Ex,Y,3504,5,5,0,15768,31536,1,0.22878,319900
47,7,2149,2,1434,1,2003,2003,1,12822,Mitchel,Gd,Gd,Y,3583,7,7,0,15043,25081,1,0.167603,239686
48,8,1656,3,1656,2,2006,2006,0,11096,Somerst,Gd,Gd,Y,3312,4,4,0,13248,26496,0,0.149243,249700
49,4,1452,0,736,2,1920,2008,0,4456,OldTown,TA,TA,Y,2188,90,2,1,5808,8752,0,0.325853,113000
50,5,955,1,955,1,1966,1966,0,7742,Sawyer,TA,TA,Y,1910,44,44,0,4775,9550,0,0.123353,127000
51,6,1470,2,794,2,1997,1997,0,13869,Gilbert,TA,TA,Y,2264,13,13,0,8820,13584,0,0.105992,177000
52,6,1176,2,816,1,1934,1950,1,6240,BrkSide,TA,TA,Y,1992,76,60,1,7056,11952,1,0.188462,114500
53,5,816,2,816,1,1963,1963,0,8472,IDOTRR,Fa,TA,N,1632,47,47,0,4080,8160,0,0.096317,110000
54,9,1842,3,1842,0,1981,1987,1,50271,Veenker,Gd,Gd,Y,3684,29,23,1,16578,33156,1,0.036641,385000
55,5,1360,2,384,1,1955,1955,1,7134,NAmes,TA,TA,Y,1744,55,55,0,6800,8720,1,0.190636,130000
56,6,1425,2,1425,2,1964,1964,1,10175,NAmes,TA,TA,Y,2850,46,46,0,8550,17100,1,0.140049,180500
57,8,1739,2,970,2,1999,2000,0,2645,Somerst,Gd,Gd,Y,2709,11,10,1,13912,21672,0,0.657467,172500
58,7,1720,2,860,2,2004,2004,0,11645,CollgCr,Gd,Gd,Y,2580,6,6,0,12040,18060,0,0.147703,196500
59,10,2945,3,1410,3,2006,2006,1,13682,StoneBr,Ex,Gd,Y,4355,4,4,0,29450,43550,1,0.215246,438780
60,5,780,1,780,1,1972,1972,0,7200,CollgCr,TA,TA,Y,1560,38,38,0,3900,7800,0,0.108333,124900
61,6,1158,2,1158,1,2004,2004,0,13072,SawyerW,TA,Gd,Y,2316,6,6,0,6948,13896,0,0.088586,158000
62,5,1111,1,530,1,1920,1996,0,7200,IDOTRR,TA,Fa,N,1641,90,14,1,5555,8205,0,0.154306,101000
63,8,1370,2,1370,2,2006,2006,1,6442,NridgHt,Gd,Gd,Y,2740,4,4,0,10960,21920,1,0.212667,202500
64,7,1710,2,576,2,1921,1950,0,10300,OldTown,TA,TA,Y,2286,89,60,1,11970,16002,0,0.166019,140000
65,7,2034,2,1057,2,1997,1998,0,9375,CollgCr,TA,Gd,Y,3091,13,12,1,14238,21637,0,0.21696,219500
66,8,2473,3,1143,2,2004,2005,1,9591,NridgHt,Gd,Gd,Y,3616,6,5,1,19784,28928,1,0.257846,317000
67,7,2207,2,1947,2,1970,1989,1,19900,NAmes,TA,TA,Y,4154,40,21,1,15449,29078,1,0.110905,180000
68,7,1479,2,1453,2,2003,2003,0,10665,CollgCr,Gd,Gd,Y,2932,7,7,0,10353,20524,0,0.138678,226000
69,4,747,1,747,1,1945,1950,0,4608,OldTown,TA,TA,Y,1494,65,60,1,2988,5976,0,0.162109,80000
70,7,2287,2,1304,2,1953,1953,1,15593,ClearCr,Gd,TA,Y,3591,57,57,0,16009,25137,1,0.146668,225000
71,7,2223,2,2223,2,1973,1973,2,13651,NAmes,TA,TA,Y,4446,37,37,0,15561,31122,1,0.162845,244000
72,4,845,2,845,1,1982,2006,0,7599,Mitchel,TA,TA,Y,1690,28,4,1,3380,6760,0,0.111199,129500
73,7,1718,2,832,2,1998,1998,1,10141,Gilbert,TA,TA,Y,2550,12,12,0,12026,17850,1,0.169411,185000
74,5,1086,2,1086,1,1954,2003,0,10200,NAmes,TA,TA,Y,2172,56,7,1,5430,10860,0,0.106471,144900
75,3,1605,1,840,2,1915,1950,0,5790,OldTown,Gd,TA,N,2445,95,60,1,4815,7335,0,0.277202,107400
76,4,988,1,462,1,1973,1973,0,1596,MeadowV,TA,TA,Y,1450,37,37,0,3952,5800,0,0.619048,91000
77,4,952,1,952,1,1956,1956,0,8475,NAmes,TA,TA,Y,1904,54,54,0,3808,7616,0,0.11233,135750
78,5,1285,1,672,1,1948,2001,0,8635,BrkSide,TA,TA,Y,1957,62,9,1,6425,9785,0,0.148813,127000
79,4,1768,0,1768,2,1968,1968,0,10778,Sawyer,TA,TA,N,3536,42,42,0,7072,14144,0,0.164038,136500
80,5,1230,2,440,1,1910,1981,0,10440,OldTown,TA,TA,Y,1670,100,29,1,6150,8350,0,0.117816,110000
81,6,2142,1,896,2,1968,1968,1,13000,NAmes,TA,Gd,Y,3038,42,42,0,12852,18228,1,0.164769,193500
82,6,1337,2,1237,2,1998,1998,0,4500,Mitchel,TA,TA,Y,2574,12,12,0,8022,15444,0,0.297111,153500
83,8,1563,3,1563,2,2007,2007,1,10206,Somerst,TA,Gd,Y,3126,3,3,0,12504,25008,1,0.153145,245000
84,5,1065,2,1065,1,1960,1960,0,8892,NAmes,TA,TA,Y,2130,50,50,0,5325,10650,0,0.119771,126500
85,7,1474,2,384,2,1995,1996,1,8530,Gilbert,TA,TA,Y,1858,15,14,1,10318,13006,1,0.172802,168500
86,8,2417,2,1288,2,1991,1992,1,16059,NoRidge,Gd,Gd,Y,3705,19,18,1,19336,29640,1,0.150508,260000
87,6,1560,2,684,2,2005,2005,1,11911,Gilbert,Gd,Gd,Y,2244,5,5,0,9360,13464,1,0.130971,174000
88,6,1224,2,612,2,2009,2009,0,3951,Somerst,Gd,Gd,Y,1836,1,1,0,7344,11016,0,0.309795,164500
89,3,1526,0,1013,1,1915,1982,0,8470,IDOTRR,Fa,Fa,N,2539,95,28,1,4578,7617,0,0.180165,85000
90,4,990,0,990,1,1994,1995,0,8070,CollgCr,TA,TA,Y,1980,16,15,1,3960,7920,0,0.122677,123600
91,4,1040,2,0,1,1950,1950,0,7200,NAmes,TA,TA,Y,1040,60,60,0,4160,4160,0,0.144444,109900
92,5,1235,2,1235,1,1961,1961,0,8500,NAmes,TA,TA,Y,2470,49,49,0,6175,12350,0,0.145294,98600
93,5,964,2,876,1,1921,2006,0,13360,Crawfor,TA,TA,Y,1840,89,4,1,4820,9200,0,0.072156,163500
94,6,2291,2,1214,2,1910,1998,1,7200,OldTown,TA,TA,N,3505,100,12,1,13746,21030,1,0.318194,133900
95,6,1786,2,824,2,1997,1997,0,9337,CollgCr,TA,Gd,Y,2610,13,13,0,10716,15660,0,0.191282,204750
96,6,1470,2,680,2,1993,1993,1,9765,Gilbert,Ex,TA,Y,2150,17,17,0,8820,12900,1,0.150538,185000
97,7,1588,2,1588,2,1999,1999,0,10264,CollgCr,Gd,Gd,Y,3176,11,11,0,11116,22232,0,0.154716,214000
98,4,960,1,960,1,1965,1965,0,10921,Edwards,TA,TA,Y,1920,45,45,0,3840,7680,0,0.087904,94750
99,5,835,1,458,1,1920,1950,0,10625,Edwards,TA,TA,N,1293,90,60,1,4175,6465,0,0.078588,83000
100,4,1225,0,950,1,1959,1959,0,9320,NAmes,TA,TA,Y,2175,51,51,0,4900,8700,0,0.131438,128950
101,6,1610,2,1610,2,1977,2001,2,10603,NWAmes,TA,Gd,Y,3220,33,9,1,9660,19320,1,0.151844,205000
