Id,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,Fireplaces,LotArea,Neighborhood,ExterQual,KitchenQual,CentralAir,SalePrice
1,7,1710,2,548,856,856,2,8,2003,2003,0,8450,CollgCr,Gd,Gd,Y,208500
2,6,1262,2,460,1262,1262,2,6,1976,1976,1,9600,Veenker,TA,TA,Y,181500
3,7,1786,2,608,920,920,2,6,2001,2002,1,11250,CollgCr,Gd,Gd,Y,223500
4,7,1717,3,642,756,961,1,7,1915,1970,1,9550,Crawfor,TA,Gd,Y,140000
5,8,2198,3,836,1145,1145,2,9,2000,2000,1,14260,NoRidge,Gd,Gd,Y,250000
6,5,1362,2,480,796,796,1,5,1993,1995,0,14115,Mitchel,TA,TA,Y,143000
7,8,1694,2,636,1686,1694,2,7,2004,2005,1,10084,Somerst,Gd,Gd,Y,307000
8,7,2090,2,484,1107,1107,2,7,1973,1973,2,10382,NWAmes,TA,TA,Y,200000
9,7,1774,2,468,952,1022,2,8,1931,1950,2,6120,OldTown,TA,TA,Y,129900
10,5,1077,1,205,991,1077,1,5,1939,1950,2,7420,BrkSide,TA,TA,Y,118000
11,5,1040,1,384,1040,1040,1,5,1965,1965,0,11200,Sawyer,TA,TA,Y,129500
12,9,2324,3,736,1175,1182,3,11,2005,2006,2,11924,NridgHt,Ex,Ex,Y,345000
13,5,912,1,352,912,912,1,4,1962,1962,0,12968,Sawyer,TA,TA,Y,144000
14,7,1494,3,840,1494,1494,2,7,2006,2007,1,10652,CollgCr,Gd,Gd,Y,279500
15,6,1253,1,352,1253,1253,1,5,1960,1960,1,10920,NAmes,TA,TA,Y,157000
16,7,854,2,576,832,854,1,5,1929,2001,0,6120,BrkSide,TA,TA,Y,132000
17,6,1004,2,480,1004,1004,1,5,1970,1970,1,11241,NAmes,TA,TA,Y,149000
18,4,1296,2,516,0,1296,2,6,1967,1967,0,10791,Sawyer,TA,TA,Y,90000
19,5,1114,2,576,1114,1114,1,6,2004,2004,0,13695,SawyerW,TA,Gd,Y,159000
20,5,1339,1,294,1029,1339,1,6,1958,1965,0,7560,NAmes,TA,TA,Y,139000
21,8,2376,3,853,1158,1158,3,9,2005,2006,1,14215,NridgHt,Gd,Gd,Y,325300
22,7,1108,1,280,637,1108,1,6,1930,1950,1,7449,IDOTRR,TA,Gd,Y,139400
23,8,1795,2,534,1777,1795,2,7,2002,2002,1,9742,CollgCr,Gd,Gd,Y,230000
24,5,1060,2,572,1040,1060,1,6,1976,1976,1,4224,MeadowV,TA,TA,Y,129900
25,5,1060,1,270,1060,1060,1,6,1968,2001,1,8246,Sawyer,TA,Gd,Y,154000
26,8,1600,3,890,1566,1600,2,7,2007,2007,1,14230,NridgHt,Gd,Gd,Y,256300
27,5,900,2,576,900,900,1,5,1951,2000,0,7200,NAmes,TA,Gd,Y,134800
28,8,1704,3,772,1704,1704,2,7,2007,2008,1,11478,NridgHt,Gd,Gd,Y,306000
29,5,1600,1,319,1484,1600,1,6,1957,1997,2,16321,NAmes,TA,TA,Y,207500
30,4,520,1,240,520,520,1,4,1927,1950,0,6324,BrkSide,TA,Fa,N,68500
31,4,1317,1,250,649,649,1,6,1920,1950,0,8500,IDOTRR,TA,TA,N,40000
32,5,1228,1,271,1228,1228,1,6,1966,2006,0,8544,Sawyer,TA,Gd,Y,149350
33,8,1234,2,484,1234,1234,2,7,2007,2007,0,11049,CollgCr,Gd,Gd,Y,179900
34,5,1700,2,447,1398,1700,1,6,1959,1959,1,10552,NAmes,TA,Gd,Y,165500
35,9,1561,2,556,1561,1561,2,6,2005,2005,1,7313,NridgHt,Ex,Ex,Y,277500
36,8,2452,3,691,1117,1132,3,9,2004,2005,1,13418,NridgHt,Gd,Gd,Y,309000
37,5,1097,2,672,1097,1097,1,6,1994,1995,0,10859,CollgCr,TA,TA,Y,145000
38,5,1297,2,498,1297,1297,1,5,1954,1990,1,8532,NAmes,TA,TA,Y,153000
39,5,1057,1,246,1057,1057,1,5,1953,2007,0,7922,NAmes,TA,Gd,Y,109000
40,4,1152,0,0,0,1152,2,6,1955,1955,0,6040,Edwards,TA,Fa,N,82000
41,6,1324,2,440,1088,1324,2,6,1965,1965,1,8658,NAmes,TA,TA,Y,160000
42,5,1328,1,308,1350,1328,1,5,1959,1959,2,16905,Timber,TA,TA,Y,170000
43,5,884,2,504,840,884,1,5,1983,1983,0,9180,SawyerW,TA,Gd,Y,144000
44,5,938,1,308,938,938,1,5,1975,1980,0,9200,CollgCr,TA,TA,Y,130250
45,5,1150,1,300,1150,1150,1,6,1959,1959,0,7945,NAmes,TA,TA,Y,141000
46,9,1752,2,576,1752,1752,2,6,2005,2005,1,7658,NridgHt,Ex,Ex,Y,319900
47,7,2149,2,670,1434,1518,1,6,2003,2003,1,12822,Mitchel,Gd,Gd,Y,239686
48,8,1656,3,826,1656,1656,2,7,2006,2006,0,11096,Somerst,Gd,Gd,Y,249700
49,4,1452,0,0,736,736,2,8,1920,2008,0,4456,OldTown,TA,TA,Y,113000
50,5,955,1,386,955,955,1,6,1966,1966,0,7742,Sawyer,TA,TA,Y,127000
51,6,1470,2,388,794,794,2,6,1997,1997,0,13869,Gilbert,TA,TA,Y,177000
52,6,1176,2,528,816,816,1,6,1934,1950,1,6240,BrkSide,TA,TA,Y,114500
53,5,816,2,516,816,816,1,5,1963,1963,0,8472,IDOTRR,Fa,TA,N,110000
54,9,1842,3,894,1842,1842,0,5,1981,1987,1,50271,Veenker,Gd,Gd,Y,385000
55,5,1360,2,572,384,1360,1,6,1955,1955,1,7134,NAmes,TA,TA,Y,130000
56,6,1425,2,576,1425,1425,2,7,1964,1964,1,10175,NAmes,TA,TA,Y,180500
57,8,1739,2,480,970,983,2,7,1999,2000,0,2645,Somerst,Gd,Gd,Y,172500
58,7,1720,2,565,860,860,2,7,2004,2004,0,11645,CollgCr,Gd,Gd,Y,196500
59,10,2945,3,641,1410,1426,3,10,2006,2006,1,13682,StoneBr,Ex,Gd,Y,438780
60,5,780,1,352,780,780,1,4,1972,1972,0,7200,CollgCr,TA,TA,Y,124900
61,6,1158,2,576,1158,1158,1,5,2004,2004,0,13072,SawyerW,TA,Gd,Y,158000
62,5,1111,1,288,530,581,1,6,1920,1996,0,7200,IDOTRR,TA,Fa,N,101000
63,8,1370,2,484,1370,1370,2,6,2006,2006,1,6442,NridgHt,Gd,Gd,Y,202500
64,7,1710,2,480,576,902,2,9,1921,1950,0,10300,OldTown,TA,TA,Y,140000
65,7,2034,2,645,1057,1057,2,8,1997,1998,0,9375,CollgCr,TA,Gd,Y,219500
66,8,2473,3,852,1143,1143,2,9,2004,2005,1,9591,NridgHt,Gd,Gd,Y,317000
67,7,2207,2,576,1947,2207,2,7,1970,1989,1,19900,NAmes,TA,TA,Y,180000
68,7,1479,2,558,1453,1479,2,7,2003,2003,0,10665,CollgCr,Gd,Gd,Y,226000
